layer_name,num_elements,sparsity
_orig_mod.encoder.graph_layer_1.weight,13712209,1.4585541979414112e-05
_orig_mod.encoder.graph_layer_1.bias,3703,100.0
_orig_mod.encoder.graph_layer_2.weight,473984,0.0
_orig_mod.encoder.graph_layer_2.bias,128,100.0
_orig_mod.encoder.decoder_1.weight,13712209,5.834216791765645e-05
_orig_mod.encoder.decoder_1.bias,3703,0.0
_orig_mod.encoder.decoder_2.weight,13712209,7.292770989707056e-05
_orig_mod.encoder.decoder_2.bias,3703,0.0
_orig_mod.encoder.linear.weight,768,0.0
_orig_mod.encoder.linear.bias,6,0.0
