layer_name,num_elements,sparsity
_orig_mod.encoder.graph_layer_1.weight,16384,49.920654296875
_orig_mod.encoder.graph_layer_1.bias,128,100.0
_orig_mod.encoder.graph_layer_2.weight,32768,49.7039794921875
_orig_mod.encoder.graph_layer_2.bias,256,100.0
_orig_mod.encoder.decoder_1.weight,16384,50.50048828125
_orig_mod.encoder.decoder_1.bias,128,45.3125
_orig_mod.encoder.decoder_2.weight,16384,49.93896484375
_orig_mod.encoder.decoder_2.bias,128,52.34375
_orig_mod.encoder.linear.weight,10240,50.05859375
_orig_mod.encoder.linear.bias,40,55.00000000000001
