layer_name,num_elements,sparsity
_orig_mod.encoder.graph_layer_1.weight,13712209,0.00033546746552652455
_orig_mod.encoder.graph_layer_1.bias,3703,0.0
_orig_mod.encoder.graph_layer_2.weight,473984,0.0006329327572238726
_orig_mod.encoder.graph_layer_2.bias,128,1.5625
_orig_mod.encoder.decoder_1.weight,13712209,8.751325187648468e-05
_orig_mod.encoder.decoder_1.bias,3703,0.0
_orig_mod.encoder.decoder_2.weight,13712209,0.014556370895455284
_orig_mod.encoder.decoder_2.bias,3703,0.0
_orig_mod.encoder.linear.weight,768,0.0
_orig_mod.encoder.linear.bias,6,0.0
