layer_name,num_elements,sparsity
_orig_mod.encoder.graph_layer_1.weight,13712209,3.646385494853528e-05
_orig_mod.encoder.graph_layer_1.bias,3703,0.0
_orig_mod.encoder.graph_layer_2.weight,473984,0.0
_orig_mod.encoder.graph_layer_2.bias,128,0.0
_orig_mod.encoder.decoder_1.weight,13712209,7.292770989707056e-06
_orig_mod.encoder.decoder_1.bias,3703,0.0
_orig_mod.encoder.decoder_2.weight,13712209,0.0001166843358353129
_orig_mod.encoder.decoder_2.bias,3703,0.0
_orig_mod.encoder.linear.weight,768,0.0
_orig_mod.encoder.linear.bias,6,0.0
