layer_name,avg_forward_time_ms,num_calls
_orig_mod.encoder.dropout,0.0022400057829680938,3005
_orig_mod.encoder.graph_layer_1,0.002965316666094912,3005
_orig_mod.encoder.graph_layer_2,0.002393326543878993,3005
_orig_mod.encoder.decoder_1,0.0023398508461883382,3005
_orig_mod.encoder.decoder_2,0.0023228972112006832,3005
_orig_mod.encoder.linear,0.0005551719241550877,3005
_orig_mod.encoder.vq.project_in,0.002233589226116555,3005
_orig_mod.encoder.vq.project_out,0.0029183039751629067,3005
_orig_mod.encoder.vq._codebook,0.002674852186401751,3005
