layer_name,num_elements,sparsity
_orig_mod.encoder.graph_layer_1.weight,16384,49.64599609375
_orig_mod.encoder.graph_layer_1.bias,128,100.0
_orig_mod.encoder.graph_layer_2.weight,32768,50.152587890625
_orig_mod.encoder.graph_layer_2.bias,256,100.0
_orig_mod.encoder.decoder_1.weight,16384,50.262451171875
_orig_mod.encoder.decoder_1.bias,128,45.3125
_orig_mod.encoder.decoder_2.weight,16384,49.79248046875
_orig_mod.encoder.decoder_2.bias,128,47.65625
_orig_mod.encoder.linear.weight,10240,49.267578125
_orig_mod.encoder.linear.bias,40,45.0
