layer_name,num_elements,sparsity
encoder.graph_layer_1.weight,13712209,89.91411959954812
encoder.graph_layer_1.bias,3703,91.65541452876046
encoder.graph_layer_2.weight,473984,50.4628848231164
encoder.graph_layer_2.bias,128,48.4375
encoder.decoder_1.weight,13712209,87.55817534578127
encoder.decoder_1.bias,3703,51.3637591142317
encoder.decoder_2.weight,13712209,97.23405616119183
encoder.decoder_2.bias,3703,77.882797731569
encoder.linear.weight,768,43.09895833333333
encoder.linear.bias,6,33.33333333333333
