mode,train_time_sec,eval_time_sec,cpu_mem_mb,gpu_mem_mb
eager,13133.987611532211,131.39498138427734,6661.01953125,1365.0537109375
compiled,13281.625114440918,148.88660216331482,8006.171875,1421.29052734375
