layer_name,num_elements,sparsity
_orig_mod.encoder.graph_layer_1.weight,555025,0.0028827530291428314
_orig_mod.encoder.graph_layer_1.bias,745,0.0
_orig_mod.encoder.graph_layer_2.weight,47680,1.1849832214765101
_orig_mod.encoder.graph_layer_2.bias,64,3.125
_orig_mod.encoder.decoder_1.weight,555025,0.0016215485788928427
_orig_mod.encoder.decoder_1.bias,745,0.0
_orig_mod.encoder.decoder_2.weight,555025,1.457952344488987
_orig_mod.encoder.decoder_2.bias,745,0.0
_orig_mod.encoder.linear.weight,512,0.78125
_orig_mod.encoder.linear.bias,8,0.0
