layer_name,num_elements,sparsity
_orig_mod.encoder.graph_layer_1.weight,588289,0.22267966934618869
_orig_mod.encoder.graph_layer_1.bias,767,0.0
_orig_mod.encoder.graph_layer_2.weight,98176,0.4675277053455019
_orig_mod.encoder.graph_layer_2.bias,128,0.0
_orig_mod.encoder.decoder_1.weight,588289,5.08831543680062
_orig_mod.encoder.decoder_1.bias,767,0.0
_orig_mod.encoder.decoder_2.weight,588289,35.24628201445208
_orig_mod.encoder.decoder_2.bias,767,12.1251629726206
_orig_mod.encoder.linear.weight,1280,0.0
_orig_mod.encoder.linear.bias,10,0.0
